"filename", "language", "C", "Markdown", "C++", "XML", "comment", "blank", "total"
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\README.md", "Markdown", 0, 2, 0, 0, 0, 2, 4
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\conf\conf.c", "C", 0, 0, 0, 0, 1, 2, 3
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\conf\test.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\cpool.c", "C", 0, 0, 0, 0, 8, 2, 10
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\link\link.c", "C", -93, 0, 0, 0, -24, -19, -136
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\link\linktest.c", "C", -21, 0, 0, 0, -17, -12, -50
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\log.c", "C", 0, 0, 0, 0, 8, 1, 9
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\main.c", "C", -8, 0, 0, 0, 17, -6, 3
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\master.c", "C", 0, 0, 0, 0, 24, 3, 27
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\libshare.c", "C", 93, 0, 0, 0, 25, 20, 138
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdb3.c", "C", 66, 0, 0, 0, 18, 20, 104
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdb_operate.c", "C", 58, 0, 0, 0, 19, 16, 93
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\mdbrw3.c", "C", 101, 0, 0, 0, 19, 25, 145
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mdb\share.c", "C", 37, 0, 0, 0, 17, 6, 60
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\model\data.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\model\model.c", "C", 6, 0, 0, 0, 1, 0, 7
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\mpool.c", "C", 76, 0, 0, 0, 11, 16, 103
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\request.c", "C", 0, 0, 0, 0, 7, 2, 9
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\response.c", "C", -1, 0, 0, 0, 6, 4, 9
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\router.c", "C", 0, 0, 0, 0, 1, 1, 2
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\server.c", "C", 24, 0, 0, 0, 7, 16, 47
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\session.c", "C", 0, 0, 0, 0, 1, 2, 3
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\template.c", "C", 22, 0, 0, 0, 2, -3, 21
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_list.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_queue.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_stack.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_string.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_thread_pool.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\dm_timer.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\utility\utility.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\mdb.c", "C", 14, 0, 0, 0, 0, 6, 20
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\mysql.c", "C", 3, 0, 0, 0, 2, 0, 5
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\other.c", "C", -2, 0, 0, 0, 2, 1, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\Src\views\template.c", "C", -3, 0, 0, 0, 0, -3, -6
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\bin\conf.xml", "XML", 0, 0, 0, -27, 0, -6, -33
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\conf\conf.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\cpool.h", "C++", 0, 0, 0, 0, 1, 2, 3
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\link.h", "C", -28, 0, 0, 0, -16, -15, -59
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\log.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mdb\mdb.h", "C++", 0, 0, 27, 0, 17, 11, 55
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mdb\share.h", "C++", 0, 0, 28, 0, 17, 16, 61
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\model\data.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\model\model.h", "C++", 0, 0, -3, 0, 1, 0, -2
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\mpool.h", "C++", 0, 0, 3, 0, 1, 0, 4
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\request.h", "C++", 0, 0, 0, 0, 1, 2, 3
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\response.h", "C++", 0, 0, 0, 0, 1, 1, 2
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\router.h", "C++", 0, 0, 0, 0, 1, 1, 2
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\server.h", "C++", 0, 0, 1, 0, 2, 2, 5
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\session.h", "C++", 0, 0, 0, 0, 1, 1, 2
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\template.h", "C++", 0, 0, 12, 0, 1, 6, 19
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_list.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_queue.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_stack.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_string.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_thread_pool.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\dm_timer.h", "C++", 0, 0, 0, 0, 1, 0, 1
"c:\Users\92706\Desktop\TEMP\C_learn\Myserver\Dmfserver\request\include\dmfserver\dmfserver\utility\utility.h", "C++", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 344, 2, 68, -27, 202, 124, 713